title,subtitle_or_edition,type,in_storage,publisher,min_players,max_players,best_players,bgg_id,bgg_title,bgg_year,poll_votes,confidence,purchase_date,notes
Warhammer Underworlds,Shadespire,base game,no,Games Workshop Ltd.,2,2,2,224597,Warhammer Underworlds: Shadespire,2017,39,high,2018-08-15,"Spine reads ""A fast-paced game of tactical arena combat"""
Warhammer Underworlds,Beastgrave,base game,no,Games Workshop Ltd.,2,4,2,287754,Warhammer Underworlds: Beastgrave,2019,6,high,2019-10-02,
BattleLore,Second Edition,base game,no,Fantasy Flight Games,2,2,2,146439,BattleLore: Second Edition,2013,89,high,2018-09-19,"Hand-written spine label: ""+Hernfar Guardians"" (expansion stored inside)"
BattleLore,Second Edition (2nd copy),base game,no,Fantasy Flight Games,2,2,2,146439,BattleLore: Second Edition,2013,89,high,2019-07-14,Second copy of the same box
Heat,Pedal to the Metal,base game,no,Days of Wonder,1,6,5-6,366013,Heat: Pedal to the Metal,2022,900,high,,
Worldspanner Factions,Heroes 1,expansion,no,Worldspanner,2,8,"2, 4",346597,"Worldspanner Factions, Set 1: Heroes",2024,13,high,2025-01-07,Brett Murrell; box prints 2-8 players / 14+ / 120-240 min
Worldspanner Factions,Expanses 2,expansion,no,Worldspanner,2,8,"2, 4",346597,"Worldspanner Factions, Set 1: Heroes",2024,13,high,2025-01-07,Set 2 has no separate BGG entry; figures are from the Set 1 entry for the same product line
Glory,2nd Edition,base game,no,Hogg Publishing,1,4,2-3,337316,Glory: 2nd Edition,2022,5,high,2025-01-08,Jeremy Hogg; shrink-wrapped on the shelf. Edition identified by owner
Claustrophobia 1643,,base game,no,Monolith Board Games,2,2,2,257518,Claustrophobia 1643,2019,33,high,2019-01-25,Large black box with dark creature art on lid. Title identified by owner (no logo or text on visible face)
The City of Kings,,base game,no,The City of Games,1,4,1,207243,The City of Kings,2018,116,high,2019-06-16,Black box with silver title
Assault on Doomrock,Ultimate Edition,base game,no,Beautiful Disaster Games,1,4,1,330116,Assault on Doomrock: Ultimate Edition,2023,14,high,2024-04-06,Ultimate Edition is its own BGG entry - used in preference to the 2014 base game
